A,B,C,D,E,F
1000,5.4,0.1524,39.6,0.00485029,126.416
1250,5.4,0.1524,39.6,0.00485029,126.416
1600,5.4,0.1524,39.6,0.00485029,126.416
2000,5.4,0.1524,39.6,0.00485029,126.416
2500,5.4,0.1524,39.6,0.00485029,126.416
3150,5.4,0.1524,39.6,0.00485029,126.416
4000,5.4,0.1524,39.6,0.00485029,126.416
5000,5.4,0.1524,39.6,0.00485029,126.416
6300,5.4,0.1524,39.6,0.00485029,126.416
315,5.4,0.1524,31.7,0.00525474,126.416
400,5.4,0.1524,31.7,0.00525474,126.416
500,5.4,0.1524,31.7,0.00525474,126.416
630,5.4,0.1524,31.7,0.00525474,126.416
800,5.4,0.1524,31.7,0.00525474,126.416
1000,5.4,0.1524,31.7,0.00525474,126.416
1250,5.4,0.1524,31.7,0.00525474,126.416
1600,5.4,0.1524,31.7,0.00525474,126.416
2000,5.4,0.1524,31.7,0.00525474,126.416
2500,5.4,0.1524,31.7,0.00525474,126.416
3150,5.4,0.1524,31.7,0.00525474,126.416
4000,5.4,0.1524,31.7,0.00525474,126.416
5000,5.4,0.1524,31.7,0.00525474,126.416
6300,5.4,0.1524,31.7,0.00525474,126.416
315,7.2,0.1524,71.3,0.00752039,126.416
400,7.2,0.1524,71.3,0.00752039,126.416
500,7.2,0.1524,71.3,0.00752039,126.416
630,7.2,0.1524,71.3,0.00752039,126.416
800,7.2,0.1524,71.3,0.00752039,126.416
1000,7.2,0.1524,71.3,0.00752039,126.416
1250,7.2,0.1524,71.3,0.00752039,126.416
1600,7.2,0.1524,71.3,0.00752039,126.416
2000,7.2,0.1524,71.3,0.00752039,126.416
2500,7.2,0.1524,71.3,0.00752039,126.416
3150,7.2,0.1524,71.3,0.00752039,126.416
4000,7.2,0.1524,71.3,0.00752039,126.416
5000,7.2,0.1524,71.3,0.00752039,126.416
6300,7.2,0.1524,71.3,0.00752039,126.416
8000,7.2,0.1524,71.3,0.00752039,126.416
10000,7.2,0.1524,71.3,0.00752039,126.416
250,7.2,0.1524,39.6,0.00909175,126.416
315,7.2,0.1524,39.6,0.00909175,126.416
400,7.2,0.1524,39.6,0.00909175,126.416
500,7.2,0.1524,39.6,0.00909175,126.416
630,7.2,0.1524,39.6,0.00909175,126.416
800,7.2,0.1524,39.6,0.00909175,126.416
1000,7.2,0.1524,39.6,0.00909175,126.416
1250,7.2,0.1524,39.6,0.00909175,126.416
1600,7.2,0.1524,39.6,0.00909175,126.416
2000,7.2,0.1524,39.6,0.00909175,126.416
2500,7.2,0.1524,39.6,0.00909175,126.416
3150,7.2,0.1524,39.6,0.00909175,126.416
4000,7.2,0.1524,39.6,0.00909175,126.416
5000,7.2,0.1524,39.6,0.00909175,126.416
6300,7.2,0.1524,39.6,0.00909175,126.416
8000,7.2,0.1524,39.6,0.00909175,126.416
10000,7.2,0.1524,39.6,0.00909175,126.416
200,9.9,0.1524,71.3,0.0193001,126.416
250,9.9,0.1524,71.3,0.0193001,126.416
315,9.9,0.1524,71.3,0.0193001,126.416
400,9.9,0.1524,71.3,0.0193001,126.416
500,9.9,0.1524,71.3,0.0193001,126.416
630,9.9,0.1524,71.3,0.0193001,126.416
800,9.9,0.1524,71.3,0.0193001,126.416
1000,9.9,0.1524,71.3,0.0193001,126.416
1250,9.9,0.1524,71.3,0.0193001,126.416
1600,9.9,0.1524,71.3,0.0193001,126.416
2000,9.9,0.1524,71.3,0.0193001,126.416
2500,9.9,0.1524,71.3,0.0193001,126.416
3150,9.9,0.1524,71.3,0.0193001,126.416
4000,9.9,0.1524,71.3,0.0193001,126.416
5000,9.9,0.1524,71.3,0.0193001,126.416
6300,9.9,0.1524,71.3,0.0193001,126.416
200,9.9,0.1524,55.5,0.0208438,126.416
250,9.9,0.1524,55.5,0.0208438,126.416
315,9.9,0.1524,55.5,0.0208438,126.416
400,9.9,0.1524,55.5,0.0208438,126.416
500,9.9,0.1524,55.5,0.0208438,126.416
630,9.9,0.1524,55.5,0.0208438,126.416
800,9.9,0.1524,55.5,0.0208438,126.416
1000,9.9,0.1524,55.5,0.0208438,126.416
1250,9.9,0.1524,55.5,0.0208438,126.416
1600,9.9,0.1524,55.5,0.0208438,126.416
2000,9.9,0.1524,55.5,0.0208438,126.416
2500,9.9,0.1524,55.5,0.0208438,126.416
3150,9.9,0.1524,55.5,0.0208438,126.416
4000,9.9,0.1524,55.5,0.0208438,126.416
5000,9.9,0.1524,55.5,0.0208438,126.416
6300,9.9,0.1524,55.5,0.0208438,126.416
200,9.9,0.1524,39.6,0.0233328,126.416
250,9.9,0.1524,39.6,0.0233328,126.416
315,9.9,0.1524,39.6,0.0233328,126.416
400,9.9,0.1524,39.6,0.0233328,126.416
500,9.9,0.1524,39.6,0.0233328,126.416
630,9.9,0.1524,39.6,0.0233328,126.416
800,9.9,0.1524,39.6,0.0233328,126.416
1000,9.9,0.1524,39.6,0.0233328,126.416
1250,9.9,0.1524,39.6,0.0233328,126.416
1600,9.9,0.1524,39.6,0.0233328,126.416
2000,9.9,0.1524,39.6,0.0233328,126.416
2500,9.9,0.1524,39.6,0.0233328,126.416
3150,9.9,0.1524,39.6,0.0233328,126.416
4000,9.9,0.1524,39.6,0.0233328,126.416
5000,9.9,0.1524,39.6,0.0233328,126.416
6300,9.9,0.1524,39.6,0.0233328,126.416
200,9.9,0.1524,31.7,0.0252785,126.416
250,9.9,0.1524,31.7,0.0252785,126.416
315,9.9,0.1524,31.7,0.0252785,126.416
400,9.9,0.1524,31.7,0.0252785,126.416
500,9.9,0.1524,31.7,0.0252785,126.416
630,9.9,0.1524,31.7,0.0252785,126.416
800,9.9,0.1524,31.7,0.0252785,126.416
1000,9.9,0.1524,31.7,0.0252785,126.416
1250,9.9,0.1524,31.7,0.0252785,126.416
1600,9.9,0.1524,31.7,0.0252785,126.416
2000,9.9,0.1524,31.7,0.0252785,126.416
2500,9.9,0.1524,31.7,0.0252785,126.416
3150,9.9,0.1524,31.7,0.0252785,126.416
4000,9.9,0.1524,31.7,0.0252785,126.416
5000,9.9,0.1524,31.7,0.0252785,126.416
6300,9.9,0.1524,31.7,0.0252785,126.416
200,12.6,0.1524,71.3,0.0483159,126.416
250,12.6,0.1524,71.3,0.0483159,126.416
315,12.6,0.1524,71.3,0.0483159,126.416
400,12.6,0.1524,71.3,0.0483159,126.416
500,12.6,0.1524,71.3,0.0483159,126.416
630,12.6,0.1524,71.3,0.0483159,126.416
800,12.6,0.1524,71.3,0.0483159,126.416
1000,12.6,0.1524,71.3,0.0483159,126.416
1250,12.6,0.1524,71.3,0.0483159,126.416
1600,12.6,0.1524,71.3,0.0483159,126.416
2000,12.6,0.1524,71.3,0.0483159,126.416
2500,12.6,0.1524,71.3,0.0483159,126.416
3150,12.6,0.1524,71.3,0.0483159,126.416
4000,12.6,0.1524,71.3,0.0483159,126.416
5000,12.6,0.1524,71.3,0.0483159,126.416
6300,12.6,0.1524,71.3,0.0483159,126.416
200,12.6,0.1524,39.6,0.0584113,126.416
250,12.6,0.1524,39.6,0.0584113,126.416
315,12.6,0.1524,39.6,0.0584113,126.416
400,12.6,0.1524,39.6,0.0584113,126.416
500,12.6,0.1524,39.6,0.0584113,126.416
630,12.6,0.1524,39.6,0.0584113,126.416
800,12.6,0.1524,39.6,0.0584113,126.416
1000,12.6,0.1524,39.6,0.0584113,126.416
1250,12.6,0.1524,39.6,0.0584113,126.416
1600,12.6,0.1524,39.6,0.0584113,126.416
2000,12.6,0.1524,39.6,0.0584113,126.416
2500,12.6,0.1524,39.6,0.0584113,126.416
3150,12.6,0.1524,39.6,0.0584113,126.416
4000,12.6,0.1524,39.6,0.0584113,126.416
5000,12.6,0.1524,39.6,0.0584113,126.416
6300,12.6,0.1524,39.6,0.0584113,126.416
800,0,0.0508,71.3,0.000740478,126.416
1000,0,0.0508,71.3,0.000740478,126.416
1250,0,0.0508,71.3,0.000740478,126.416
1600,0,0.0508,71.3,0.000740478,126.416
2000,0,0.0508,71.3,0.000740478,126.416
2500,0,0.0508,71.3,0.000740478,126.416
3150,0,0.0508,71.3,0.000740478,126.416
4000,0,0.0508,71.3,0.000740478,126.416
5000,0,0.0508,71.3,0.000740478,126.416
6300,0,0.0508,71.3,0.000740478,126.416
8000,0,0.0508,71.3,0.000740478,126.416
10000,0,0.0508,71.3,0.000740478,126.416
12500,0,0.0508,71.3,0.000740478,126.416
800,0,0.0508,55.5,0.00076193,126.416
1000,0,0.0508,55.5,0.00076193,126.416
1250,0,0.0508,55.5,0.00076193,126.416
1600,0,0.0508,55.5,0.00076193,126.416
2000,0,0.0508,55.5,0.00076193,126.416
2500,0,0.0508,55.5,0.00076193,126.416
3150,0,0.0508,55.5,0.00076193,126.416
4000,0,0.0508,55.5,0.00076193,126.416
5000,0,0.0508,55.5,0.00076193,126.416
6300,0,0.0508,55.5,0.00076193,126.416
8000,0,0.0508,55.5,0.00076193,126.416
10000,0,0.0508,55.5,0.00076193,126.416
12500,0,0.0508,55.5,0.00076193,126.416
800,0,0.0508,39.6,0.000791822,126.416
1000,0,0.0508,39.6,0.000791822,126.416
1250,0,0.0508,39.6,0.000791822,126.416
1600,0,0.0508,39.6,0.000791822,126.416
2000,0,0.0508,39.6,0.000791822,126.416
2500,0,0.0508,39.6,0.000791822,126.416
3150,0,0.0508,39.6,0.000791822,126.416
4000,0,0.0508,39.6,0.000791822,126.416
5000,0,0.0508,39.6,0.000791822,126.416
6300,0,0.0508,39.6,0.000791822,126.416
8000,0,0.0508,39.6,0.000791822,126.416
10000,0,0.0508,39.6,0.000791822,126.416
12500,0,0.0508,39.6,0.000791822,126.416
800,0,0.0508,31.7,0.000812164,126.416
1000,0,0.0508,31.7,0.000812164,126.416
1250,0,0.0508,31.7,0.000812164,126.416
1600,0,0.0508,31.7,0.000812164,126.416
2000,0,0.0508,31.7,0.000812164,126.416
2500,0,0.0508,31.7,0.000812164,126.416
3150,0,0.0508,31.7,0.000812164,126.416
4000,0,0.0508,31.7,0.000812164,126.416
5000,0,0.0508,31.7,0.000812164,126.416
6300,0,0.0508,31.7,0.000812164,126.416
8000,0,0.0508,31.7,0.000812164,126.416
10000,0,0.0508,31.7,0.000812164,126.416
12500,0,0.0508,31.7,0.000812164,126.416
1600,4.2,0.0508,71.3,0.00142788,126.416
2000,4.2,0.0508,71.3,0.00142788,126.416
2500,4.2,0.0508,71.3,0.00142788,126.416
3150,4.2,0.0508,71.3,0.00142788,126.416
4000,4.2,0.0508,71.3,0.00142788,126.416
5000,4.2,0.0508,71.3,0.00142788,126.416
6300,4.2,0.0508,71.3,0.00142788,126.416
8000,4.2,0.0508,71.3,0.00142788,126.416
10000,4.2,0.0508,71.3,0.00142788,126.416
12500,4.2,0.0508,71.3,0.00142788,126.416
1000,4.2,0.0508,39.6,0.00152689,126.416
1250,4.2,0.0508,39.6,0.00152689,126.416
1600,4.2,0.0508,39.6,0.00152689,126.416
2000,4.2,0.0508,39.6,0.00152689,126.416
2500,4.2,0.0508,39.6,0.00152689,126.416
3150,4.2,0.0508,39.6,0.00152689,126.416
4000,4.2,0.0508,39.6,0.00152689,126.416
5000,4.2,0.0508,39.6,0.00152689,126.416
6300,4.2,0.0508,39.6,0.00152689,126.416
8000,4.2,0.0508,39.6,0.00152689,126.416
10000,4.2,0.0508,39.6,0.00152689,126.416
800,8.4,0.0508,71.3,0.00529514,126.416
1000,8.4,0.0508,71.3,0.00529514,126.416
1250,8.4,0.0508,71.3,0.00529514,126.416
1600,8.4,0.0508,71.3,0.00529514,126.416
2000,8.4,0.0508,71.3,0.00529514,126.416
2500,8.4,0.0508,71.3,0.00529514,126.416
3150,8.4,0.0508,71.3,0.00529514,126.416
4000,8.4,0.0508,71.3,0.00529514,126.416
5000,8.4,0.0508,71.3,0.00529514,126.416
400,8.4,0.0508,55.5,0.00544854,126.416
500,8.4,0.0508,55.5,0.00544854,126.416
630,8.4,0.0508,55.5,0.00544854,126.416
800,8.4,0.0508,55.5,0.00544854,126.416
1000,8.4,0.0508,55.5,0.00544854,126.416
1250,8.4,0.0508,55.5,0.00544854,126.416
1600,8.4,0.0508,55.5,0.00544854,126.416
2000,8.4,0.0508,55.5,0.00544854,126.416
2500,8.4,0.0508,55.5,0.00544854,126.416
3150,8.4,0.0508,55.5,0.00544854,126.416
4000,8.4,0.0508,55.5,0.00544854,126.416
5000,8.4,0.0508,55.5,0.00544854,126.416
400,8.4,0.0508,39.6,0.00566229,126.416
500,8.4,0.0508,39.6,0.00566229,126.416
630,8.4,0.0508,39.6,0.00566229,126.416
800,8.4,0.0508,39.6,0.00566229,126.416
1000,8.4,0.0508,39.6,0.00566229,126.416
1250,8.4,0.0508,39.6,0.00566229,126.416
1600,8.4,0.0508,39.6,0.00566229,126.416
2000,8.4,0.0508,39.6,0.00566229,126.416
2500,8.4,0.0508,39.6,0.00566229,126.416
3150,8.4,0.0508,39.6,0.00566229,126.416
4000,8.4,0.0508,39.6,0.00566229,126.416
400,8.4,0.0508,31.7,0.00580776,126.416
500,8.4,0.0508,31.7,0.00580776,126.416
630,8.4,0.0508,31.7,0.00580776,126.416
800,8.4,0.0508,31.7,0.00580776,126.416
1000,8.4,0.0508,31.7,0.00580776,126.416
1250,8.4,0.0508,31.7,0.00580776,126.416
1600,8.4,0.0508,31.7,0.00580776,126.416
2000,8.4,0.0508,31.7,0.00580776,126.416
2500,8.4,0.0508,31.7,0.00580776,126.416
3150,8.4,0.0508,31.7,0.00580776,126.416
4000,8.4,0.0508,31.7,0.00580776,126.416
200,11.2,0.0508,71.3,0.014072,126.416
250,11.2,0.0508,71.3,0.014072,126.416
315,11.2,0.0508,71.3,0.014072,126.416
400,11.2,0.0508,71.3,0.014072,126.416
500,11.2,0.0508,71.3,0.014072,126.416
630,11.2,0.0508,71.3,0.014072,126.416
800,11.2,0.0508,71.3,0.014072,126.416
1000,11.2,0.0508,71.3,0.014072,126.416
1250,11.2,0.0508,71.3,0.014072,126.416
1600,11.2,0.0508,71.3,0.014072,126.416
2000,11.2,0.0508,71.3,0.014072,126.416
2500,11.2,0.0508,71.3,0.014072,126.416
3150,11.2,0.0508,71.3,0.014072,126.416
4000,11.2,0.0508,71.3,0.014072,126.416
200,11.2,0.0508,39.6,0.0150478,126.416
250,11.2,0.0508,39.6,0.0150478,126.416
315,11.2,0.0508,39.6,0.0150478,126.416
400,11.2,0.0508,39.6,0.0150478,126.416
500,11.2,0.0508,39.6,0.0150478,126.416
630,11.2,0.0508,39.6,0.0150478,126.416
800,11.2,0.0508,39.6,0.0150478,126.416
1000,11.2,0.0508,39.6,0.0150478,126.416
1250,11.2,0.0508,39.6,0.0150478,126.416
1600,11.2,0.0508,39.6,0.0150478,126.416
2000,11.2,0.0508,39.6,0.0150478,126.416
2500,11.2,0.0508,39.6,0.0150478,126.416
3150,11.2,0.0508,39.6,0.0150478,126.416
4000,11.2,0.0508,39.6,0.0150478,126.416
200,15.4,0.0508,71.3,0.0264269,126.416
250,15.4,0.0508,71.3,0.0264269,126.416
315,15.4,0.0508,71.3,0.0264269,126.416
400,15.4,0.0508,71.3,0.0264269,126.416
500,15.4,0.0508,71.3,0.0264269,126.416
630,15.4,0.0508,71.3,0.0264269,126.416
800,15.4,0.0508,71.3,0.0264269,126.416
1000,15.4,0.0508,71.3,0.0264269,126.416
1250,15.4,0.0508,71.3,0.0264269,126.416
1600,15.4,0.0508,71.3,0.0264269,126.416
2000,15.4,0.0508,71.3,0.0264269,126.416
2500,15.4,0.0508,71.3,0.0264269,126.416
3150,15.4,0.0508,71.3,0.0264269,126.416
4000,15.4,0.0508,71.3,0.0264269,126.416
5000,15.4,0.0508,71.3,0.0264269,126.416
6300,15.4,0.0508,71.3,0.0264269,126.416
8000,15.4,0.0508,71.3,0.0264269,126.416
200,15.4,0.0508,55.5,0.0271925,126.416
250,15.4,0.0508,55.5,0.0271925,126.416
315,15.4,0.0508,55.5,0.0271925,126.416
400,15.4,0.0508,55.5,0.0271925,126.416
500,15.4,0.0508,55.5,0.0271925,126.416
630,15.4,0.0508,55.5,0.0271925,126.416
800,15.4,0.0508,55.5,0.0271925,126.416
1000,15.4,0.0508,55.5,0.0271925,126.416
1250,15.4,0.0508,55.5,0.0271925,126.416
1600,15.4,0.0508,55.5,0.0271925,126.416
2000,15.4,0.0508,55.5,0.0271925,126.416
2500,15.4,0.0508,55.5,0.0271925,126.416
3150,15.4,0.0508,55.5,0.0271925,126.416
4000,15.4,0.0508,55.5,0.0271925,126.416
5000,15.4,0.0508,55.5,0.0271925,126.416
6300,15.4,0.0508,55.5,0.0271925,126.416
200,15.4,0.0508,39.6,0.0282593,126.416
250,15.4,0.0508,39.6,0.0282593,126.416
315,15.4,0.0508,39.6,0.0282593,126.416
400,15.4,0.0508,39.6,0.0282593,126.416
500,15.4,0.0508,39.6,0.0282593,126.416
630,15.4,0.0508,39.6,0.0282593,126.416
800,15.4,0.0508,39.6,0.0282593,126.416
1000,15.4,0.0508,39.6,0.0282593,126.416
1250,15.4,0.0508,39.6,0.0282593,126.416
1600,15.4,0.0508,39.6,0.0282593,126.416
2000,15.4,0.0508,39.6,0.0282593,126.416
2500,15.4,0.0508,39.6,0.0282593,126.416
3150,15.4,0.0508,39.6,0.0282593,126.416
4000,15.4,0.0508,39.6,0.0282593,126.416
5000,15.4,0.0508,39.6,0.0282593,126.416
6300,15.4,0.0508,39.6,0.0282593,126.416
200,15.4,0.0508,31.7,0.0289853,126.416
250,15.4,0.0508,31.7,0.0289853,126.416
315,15.4,0.0508,31.7,0.0289853,126.416
400,15.4,0.0508,31.7,0.0289853,126.416
500,15.4,0.0508,31.7,0.0289853,126.416
630,15.4,0.0508,31.7,0.0289853,126.416
800,15.4,0.0508,31.7,0.0289853,126.416
1000,15.4,0.0508,31.7,0.0289853,126.416
1250,15.4,0.0508,31.7,0.0289853,126.416
1600,15.4,0.0508,31.7,0.0289853,126.416
2000,15.4,0.0508,31.7,0.0289853,126.416
2500,15.4,0.0508,31.7,0.0289853,126.416
3150,15.4,0.0508,31.7,0.0289853,126.416
4000,15.4,0.0508,31.7,0.0289853,126.416
5000,15.4,0.0508,31.7,0.0289853,126.416
6300,15.4,0.0508,31.7,0.0289853,126.416
200,19.7,0.0508,71.3,0.0341183,126.416
250,19.7,0.0508,71.3,0.0341183,126.416
315,19.7,0.0508,71.3,0.0341183,126.416
400,19.7,0.0508,71.3,0.0341183,126.416
500,19.7,0.0508,71.3,0.0341183,126.416
630,19.7,0.0508,71.3,0.0341183,126.416
800,19.7,0.0508,71.3,0.0341183,126.416
1000,19.7,0.0508,71.3,0.0341183,126.416
1250,19.7,0.0508,71.3,0.0341183,126.416
1600,19.7,0.0508,71.3,0.0341183,126.416
2000,19.7,0.0508,71.3,0.0341183,126.416
2500,19.7,0.0508,71.3,0.0341183,126.416
3150,19.7,0.0508,71.3,0.0341183,126.416
4000,19.7,0.0508,71.3,0.0341183,126.416
200,19.7,0.0508,39.6,0.036484,126.416
250,19.7,0.0508,39.6,0.036484,126.416
315,19.7,0.0508,39.6,0.036484,126.416
400,19.7,0.0508,39.6,0.036484,126.416
500,19.7,0.0508,39.6,0.036484,126.416
630,19.7,0.0508,39.6,0.036484,126.416
800,19.7,0.0508,39.6,0.036484,126.416
1000,19.7,0.0508,39.6,0.036484,126.416
1250,19.7,0.0508,39.6,0.036484,126.416
1600,19.7,0.0508,39.6,0.036484,126.416
2000,19.7,0.0508,39.6,0.036484,126.416
2500,19.7,0.0508,39.6,0.036484,126.416
3150,19.7,0.0508,39.6,0.036484,126.416
4000,19.7,0.0508,39.6,0.036484,126.416
2500,0,0.0254,71.3,0.000400682,126.416
3150,0,0.0254,71.3,0.000400682,126.416
4000,0,0.0254,71.3,0.000400682,126.416
5000,0,0.0254,71.3,0.000400682,126.416
6300,0,0.0254,71.3,0.000400682,126.416
8000,0,0.0254,71.3,0.000400682,126.416
10000,0,0.0254,71.3,0.000400682,126.416
12500,0,0.0254,71.3,0.000400682,126.416
16000,0,0.0254,71.3,0.000400682,126.416
20000,0,0.0254,71.3,0.000400682,126.416
2000,0,0.0254,55.5,0.00041229,126.416
2500,0,0.0254,55.5,0.00041229,126.416
3150,0,0.0254,55.5,0.00041229,126.416
4000,0,0.0254,55.5,0.00041229,126.416
5000,0,0.0254,55.5,0.00041229,126.416
6300,0,0.0254,55.5,0.00041229,126.416
8000,0,0.0254,55.5,0.00041229,126.416
10000,0,0.0254,55.5,0.00041229,126.416
12500,0,0.0254,55.5,0.00041229,126.416
16000,0,0.0254,55.5,0.00041229,126.416
20000,0,0.0254,55.5,0.00041229,126.416
1600,0,0.0254,39.6,0.000428464,126.416
2000,0,0.0254,39.6,0.000428464,126.416
2500,0,0.0254,39.6,0.000428464,126.416
3150,0,0.0254,39.6,0.000428464,126.416
4000,0,0.0254,39.6,0.000428464,126.416
5000,0,0.0254,39.6,0.000428464,126.416
6300,0,0.0254,39.6,0.000428464,126.416
8000,0,0.0254,39.6,0.000428464,126.416
10000,0,0.0254,39.6,0.000428464,126.416
12500,0,0.0254,39.6,0.000428464,126.416
16000,0,0.0254,39.6,0.000428464,126.416
1000,0,0.0254,31.7,0.000439472,126.416
1250,0,0.0254,31.7,0.000439472,126.416
1600,0,0.0254,31.7,0.000439472,126.416
2000,0,0.0254,31.7,0.000439472,126.416
2500,0,0.0254,31.7,0.000439472,126.416
3150,0,0.0254,31.7,0.000439472,126.416
4000,0,0.0254,31.7,0.000439472,126.416
5000,0,0.0254,31.7,0.000439472,126.416
6300,0,0.0254,31.7,0.000439472,126.416
8000,0,0.0254,31.7,0.000439472,126.416
10000,0,0.0254,31.7,0.000439472,126.416
12500,0,0.0254,31.7,0.000439472,126.416
16000,0,0.0254,31.7,0.000439472,126.416
2000,4.8,0.0254,71.3,0.000848633,126.416
2500,4.8,0.0254,71.3,0.000848633,126.416
3150,4.8,0.0254,71.3,0.000848633,126.416
4000,4.8,0.0254,71.3,0.000848633,126.416
5000,4.8,0.0254,71.3,0.000848633,126.416
6300,4.8,0.0254,71.3,0.000848633,126.416
8000,4.8,0.0254,71.3,0.000848633,126.416
10000,4.8,0.0254,71.3,0.000848633,126.416
12500,4.8,0.0254,71.3,0.000848633,126.416
16000,4.8,0.0254,71.3,0.000848633,126.416
20000,4.8,0.0254,71.3,0.000848633,126.416
1600,4.8,0.0254,55.5,0.000873218,126.416
2000,4.8,0.0254,55.5,0.000873218,126.416
2500,4.8,0.0254,55.5,0.000873218,126.416
3150,4.8,0.0254,55.5,0.000873218,126.416
4000,4.8,0.0254,55.5,0.000873218,126.416
5000,4.8,0.0254,55.5,0.000873218,126.416
6300,4.8,0.0254,55.5,0.000873218,126.416
8000,4.8,0.0254,55.5,0.000873218,126.416
10000,4.8,0.0254,55.5,0.000873218,126.416
12500,4.8,0.0254,55.5,0.000873218,126.416
16000,4.8,0.0254,55.5,0.000873218,126.416
20000,4.8,0.0254,55.5,0.000873218,126.416
500,4.8,0.0254,39.6,0.000907475,126.416
630,4.8,0.0254,39.6,0.000907475,126.416
800,4.8,0.0254,39.6,0.000907475,126.416
1000,4.8,0.0254,39.6,0.000907475,126.416
1250,4.8,0.0254,39.6,0.000907475,126.416
1600,4.8,0.0254,39.6,0.000907475,126.416
2000,4.8,0.0254,39.6,0.000907475,126.416
2500,4.8,0.0254,39.6,0.000907475,126.416
3150,4.8,0.0254,39.6,0.000907475,126.416
4000,4.8,0.0254,39.6,0.000907475,126.416
5000,4.8,0.0254,39.6,0.000907475,126.416
6300,4.8,0.0254,39.6,0.000907475,126.416
8000,4.8,0.0254,39.6,0.000907475,126.416
10000,4.8,0.0254,39.6,0.000907475,126.416
500,4.8,0.0254,31.7,0.000930789,126.416
630,4.8,0.0254,31.7,0.000930789,126.416
800,4.8,0.0254,31.7,0.000930789,126.416
1000,4.8,0.0254,31.7,0.000930789,126.416
1250,4.8,0.0254,31.7,0.000930789,126.416
1600,4.8,0.0254,31.7,0.000930789,126.416
2000,4.8,0.0254,31.7,0.000930789,126.416
2500,4.8,0.0254,31.7,0.000930789,126.416
3150,4.8,0.0254,31.7,0.000930789,126.416
4000,4.8,0.0254,31.7,0.000930789,126.416
5000,4.8,0.0254,31.7,0.000930789,126.416
6300,4.8,0.0254,31.7,0.000930789,126.416
8000,4.8,0.0254,31.7,0.000930789,126.416
630,9.5,0.0254,71.3,0.00420654,126.416
800,9.5,0.0254,71.3,0.00420654,126.416
1000,9.5,0.0254,71.3,0.00420654,126.416
1250,9.5,0.0254,71.3,0.00420654,126.416
1600,9.5,0.0254,71.3,0.00420654,126.416
2000,9.5,0.0254,71.3,0.00420654,126.416
2500,9.5,0.0254,71.3,0.00420654,126.416
3150,9.5,0.0254,71.3,0.00420654,126.416
4000,9.5,0.0254,71.3,0.00420654,126.416
5000,9.5,0.0254,71.3,0.00420654,126.416
6300,9.5,0.0254,71.3,0.00420654,126.416
400,9.5,0.0254,55.5,0.0043284,126.416
500,9.5,0.0254,55.5,0.0043284,126.416
630,9.5,0.0254,55.5,0.0043284,126.416
800,9.5,0.0254,55.5,0.0043284,126.416
1000,9.5,0.0254,55.5,0.0043284,126.416
1250,9.5,0.0254,55.5,0.0043284,126.416
1600,9.5,0.0254,55.5,0.0043284,126.416
2000,9.5,0.0254,55.5,0.0043284,126.416
2500,9.5,0.0254,55.5,0.0043284,126.416
3150,9.5,0.0254,55.5,0.0043284,126.416
4000,9.5,0.0254,55.5,0.0043284,126.416
5000,9.5,0.0254,55.5,0.0043284,126.416
6300,9.5,0.0254,55.5,0.0043284,126.416
200,9.5,0.0254,39.6,0.00449821,126.416
250,9.5,0.0254,39.6,0.00449821,126.416
315,9.5,0.0254,39.6,0.00449821,126.416
400,9.5,0.0254,39.6,0.00449821,126.416
500,9.5,0.0254,39.6,0.00449821,126.416
630,9.5,0.0254,39.6,0.00449821,126.416
800,9.5,0.0254,39.6,0.00449821,126.416
1000,9.5,0.0254,39.6,0.00449821,126.416
1250,9.5,0.0254,39.6,0.00449821,126.416
1600,9.5,0.0254,39.6,0.00449821,126.416
2000,9.5,0.0254,39.6,0.00449821,126.416
2500,9.5,0.0254,39.6,0.00449821,126.416
3150,9.5,0.0254,39.6,0.00449821,126.416
4000,9.5,0.0254,39.6,0.00449821,126.416
5000,9.5,0.0254,39.6,0.00449821,126.416
6300,9.5,0.0254,39.6,0.00449821,126.416
200,9.5,0.0254,31.7,0.00461377,126.416
250,9.5,0.0254,31.7,0.00461377,126.416
315,9.5,0.0254,31.7,0.00461377,126.416
400,9.5,0.0254,31.7,0.00461377,126.416
500,9.5,0.0254,31.7,0.00461377,126.416
630,9.5,0.0254,31.7,0.00461377,126.416
800,9.5,0.0254,31.7,0.00461377,126.416
1000,9.5,0.0254,31.7,0.00461377,126.416
1250,9.5,0.0254,31.7,0.00461377,126.416
1600,9.5,0.0254,31.7,0.00461377,126.416
2000,9.5,0.0254,31.7,0.00461377,126.416
2500,9.5,0.0254,31.7,0.00461377,126.416
3150,9.5,0.0254,31.7,0.00461377,126.416
4000,9.5,0.0254,31.7,0.00461377,126.416
5000,9.5,0.0254,31.7,0.00461377,126.416
6300,9.5,0.0254,31.7,0.00461377,126.416
250,12.7,0.0254,71.3,0.0121808,126.416
315,12.7,0.0254,71.3,0.0121808,126.416
400,12.7,0.0254,71.3,0.0121808,126.416
500,12.7,0.0254,71.3,0.0121808,126.416
630,12.7,0.0254,71.3,0.0121808,126.416
800,12.7,0.0254,71.3,0.0121808,126.416
1000,12.7,0.0254,71.3,0.0121808,126.416
1250,12.7,0.0254,71.3,0.0121808,126.416
1600,12.7,0.0254,71.3,0.0121808,126.416
2000,12.7,0.0254,71.3,0.0121808,126.416
2500,12.7,0.0254,71.3,0.0121808,126.416
3150,12.7,0.0254,71.3,0.0121808,126.416
